0 ms | 1500 us | 0 | 6034.50
100 ms | 1500 us | 0 | 337.00
200 ms | 1500 us | 0 | 6285.09
300 ms | 1500 us | 0 | 3181.44
400 ms | 1500 us | 0 | 4995.51
500 ms | 1500 us | 0 | 6516.15
600 ms | 1500 us | 0 | 2353.38
700 ms | 1500 us | 0 | 7780.34
800 ms | 1500 us | 0 | 1612.81
900 ms | 1500 us | 0 | 1926.23
1000 ms | 1500 us | 0 | 2404.79
1100 ms | 1500 us | 0 | 2778.96
1200 ms | 1500 us | 0 | 2411.19
1300 ms | 1500 us | 0 | 4917.59
1400 ms | 1500 us | 0 | 5283.55
1500 ms | 1500 us | 0 | 2471.03
1600 ms | 1500 us | 0 | 4449.02
1700 ms | 1500 us | 0 | 1602.34
1800 ms | 1500 us | 0 | 5462.21
1900 ms | 1500 us | 0 | 6772.35
2000 ms | 1550 us | + | 5604.27
2100 ms | 1550 us | + | 5658.94
2200 ms | 1550 us | + | 6594.60
2300 ms | 1550 us | + | 7891.85
2400 ms | 1550 us | + | 4182.83
2500 ms | 1550 us | + | 7864.84
2600 ms | 1550 us | + | 2739.37
2700 ms | 1550 us | + | 7730.96
2800 ms | 1550 us | + | 7307.65
2900 ms | 1550 us | + | 6127.97
3000 ms | 1550 us | + | 1875.36
3100 ms | 1550 us | + | 4002.03
3200 ms | 1550 us | + | 2918.38
3300 ms | 1550 us | + | 6971.39
3400 ms | 1550 us | + | 6976.31
3500 ms | 1550 us | + | 7980.26
3600 ms | 1550 us | + | 7836.37
3700 ms | 1550 us | + | 1246.88
3800 ms | 1550 us | + | 6526.20
3900 ms | 1550 us | + | 1706.36
4000 ms | 1600 us | + | 1467.69
4100 ms | 1600 us | + | 3453.12
4200 ms | 1600 us | + | 6195.72
4300 ms | 1600 us | + | 1743.98
4400 ms | 1600 us | + | 2786.95
4500 ms | 1600 us | + | 939.47
4600 ms | 1600 us | + | 1552.16
4700 ms | 1600 us | + | 4527.65
4800 ms | 1600 us | + | 2291.87
4900 ms | 1600 us | + | 4987.03
5000 ms | 1600 us | + | 7465.62
5100 ms | 1600 us | + | 5094.71
5200 ms | 1600 us | + | 4306.11
5300 ms | 1600 us | + | 5440.92
5400 ms | 1600 us | + | 4374.34
5500 ms | 1600 us | + | 293.48
5600 ms | 1600 us | + | 2317.05
5700 ms | 1600 us | + | 5902.23
5800 ms | 1600 us | + | 6708.79
5900 ms | 1600 us | + | 7540.55
6000 ms | 1650 us | + | 6627.50
6100 ms | 1650 us | + | 6208.91
6200 ms | 1650 us | + | 3645.68
6300 ms | 1650 us | + | 3841.89
6400 ms | 1650 us | + | 5591.28
6500 ms | 1650 us | + | 1475.59
6600 ms | 1650 us | + | 1461.29
6700 ms | 1650 us | + | 6334.59
6800 ms | 1650 us | + | 302.25
6900 ms | 1650 us | + | 2844.85
7000 ms | 1650 us | + | 3136.65
7100 ms | 1650 us | + | 7095.05
7200 ms | 1650 us | + | 4373.69
7300 ms | 1650 us | + | 5813.23
7400 ms | 1650 us | + | 6964.70
7500 ms | 1650 us | + | 4383.99
7600 ms | 1650 us | + | 2239.72
7700 ms | 1650 us | + | 1052.70
7800 ms | 1650 us | + | 887.70
7900 ms | 1650 us | + | 5839.88
8000 ms | 1700 us | + | 5937.66
8100 ms | 1700 us | + | 5284.82
8200 ms | 1700 us | + | 4753.75
8300 ms | 1700 us | + | 7397.08
8400 ms | 1700 us | + | 972.28
8500 ms | 1700 us | + | 1883.77
8600 ms | 1700 us | + | 7167.25
8700 ms | 1700 us | + | 1163.12
8800 ms | 1700 us | + | 1796.89
8900 ms | 1700 us | + | 4467.52
9000 ms | 1700 us | + | 2418.13
9100 ms | 1700 us | + | 4899.95
9200 ms | 1700 us | + | 1984.01
9300 ms | 1700 us | + | 7380.09
9400 ms | 1700 us | + | 5805.19
9500 ms | 1700 us | + | 2267.66
9600 ms | 1700 us | + | 845.30
9700 ms | 1700 us | + | 1500.49
